"Column height must remain 32 because this file is machine parsed."  
"0 ARGS" "1 ARG" "2 ARGS"
"br.c" "cons?" "push-cons"
"br.n" "nil?" "set-car"
"br.v" "integer?" "set-cdr"
"br.nz" "composite?" "push-composite"
"br.hc" "subroutine?" "set-composite-value"
"br.ep" "car" "subtract-b-a"
"br.sc" "cdr" "subtract-a-b"
"jump" "composite-value" "add"
"br.nc" "type-of" "xor"
"br.p" "return" "or"
"br.nv" "push-from-index" "and"
"br.z" "copy-to-index" "multiply"
"br.nhc" "pop-multiple" "divide"
"br.op" "clear" "equal"
"br.nsc" "preset" "less"
"brnz" "not" "greater"
"push-integer" "shift-right" "cmp"
"push-nil" "peek-byte" "invalid"
"pop" "peek-address" "invalid"
"nop" "poke-byte" "invalid"
"halt" "poke-address" "invalid"
"garbage-collect" "invalid" "invalid"
"push-bytecode-subroutine" "invalid" "invalid"
"push-native-subroutine" "invalid" "invalid"
"call-program" "invalid" "invalid"
"call-data" "invalid" "invalid"
"invalid" "invalid" "invalid"
"invalid" "invalid" "invalid"
"invalid" "invalid" "invalid"
"invalid" "invalid" "invalid"
"invalid" "invalid" "invalid"
"invalid" "invalid" "invalid"
